벽적골9단지주공 , 80A , 1999, 1,265, 1.66%, 42,000 ~ 49,000, 42000
벽적골9단지주공 , 81 , 1999, 1,265, 1.66%, 47,000 ~ 56,000, 46996
벽적골9단지주공 , 81B , 1999, 1,265, 1.66%, 40,000 ~ 46,000, 40000
현대힐스테이트 , 82 , 2005, 2,328, 1.15%, 58,000 ~ 63,000, 58000
현대힐스테이트 , 100 , 2005, 2,328, 1.15%, 61,000 ~ 67,000, 61000
현대힐스테이트 , 110 , 2005, 2,328, 1.15%, 71,000 ~ 75,000, 71000
현대힐스테이트 , 157 , 2005, 2,328, 1.15%, 78,000 ~ 85,000, 78000
원천레이크파크 , 70 , 1999, 1,835, 1.05%, 38,500 ~ 43,000, 38500
원천레이크파크 , 76A , 1999, 1,835, 1.05%, 43,500 ~ 48,000, 43500
원천레이크파크 , 77B , 1999, 1,835, 1.05%, 43,500 ~ 48,000, 43500
원천레이크파크 , 80A , 1999, 1,835, 1.05%, 44,500 ~ 50,000, 44500
원천레이크파크 , 80B , 1999, 1,835, 1.05%, 48,500 ~ 54,000, 48498
원천레이크파크 , 107 , 1999, 1,835, 1.05%, 61,000 ~ 69,500, 61000
동수원자이1차 , 116 , 2001, 1,829, 0.79%, 56,500 ~ 60,500, 56500
동수원자이1차 , 133 , 2001, 1,829, 0.79%, 56,500 ~ 63,000, 56500
동수원자이1차 , 160 , 2001, 1,829, 0.79%, 63,000 ~ 69,000, 63000
동수원자이1차 , 183 , 2001, 1,829, 0.79%, 65,000 ~ 71,000, 65000
동수원자이1차 , 209 , 2001, 1,829, 0.79%, 68,500 ~ 73,000, 68500
자연앤힐스테이트 , 109A , 2012, 1,764, 0.55%, 142,000 ~ 158,333, 142000
자연앤힐스테이트 , 110C , 2012, 1,764, 0.55%, 142,000 ~ 158,333, 142000
자연앤힐스테이트 , 110D , 2012, 1,764, 0.55%, 142,000 ~ 158,333, 142000
자연앤힐스테이트 , 109I , 2012, 1,764, 0.55%, 142,000 ~ 158,333, 141999
자연앤힐스테이트 , 110J , 2012, 1,764, 0.55%, 142,000 ~ 158,333, 142000
자연앤힐스테이트 , 109K , 2012, 1,764, 0.55%, 142,000 ~ 158,333, 141998
자연앤힐스테이트 , 110B , 2012, 1,764, 0.55%, 142,000 ~ 158,333, 142000
자연앤힐스테이트 , 110E , 2012, 1,764, 0.55%, 142,000 ~ 158,333, 141999
자연앤힐스테이트 , 111F , 2012, 1,764, 0.55%, 142,000 ~ 158,333, 141998
자연앤힐스테이트 , 111G , 2012, 1,764, 0.55%, 142,000 ~ 158,333, 141999
